Dataset {
    Sequence {
        String time;
        Float64 GFF_CHL;
        Float64 urea_uM;
        Float64 ammonium_uM;
        Float64 nitrate_uM;
        Float64 phosphate_uM;
        Float64 silicate_uM;
        Int16 Pn_abundance;
        Float64 Paustralis;
        Float64 Pmultiseries;
        Float64 Alexandrium;
    } CPMT_SCWHARF;
} CPMT2;
---------------------------------------------
CPMT_SCWHARF.time, CPMT_SCWHARF.GFF_CHL, CPMT_SCWHARF.urea_uM, CPMT_SCWHARF.ammonium_uM, CPMT_SCWHARF.nitrate_uM, CPMT_SCWHARF.phosphate_uM, CPMT_SCWHARF.silicate_uM, CPMT_SCWHARF.Pn_abundance, CPMT_SCWHARF.Paustralis, CPMT_SCWHARF.Pmultiseries, CPMT_SCWHARF.Alexandrium
"2006-10-12 13:00:00.0", NaN, NaN, NaN, 4.42, 0.44, 14.29, 0, NaN, NaN, NaN
"2006-10-18 08:00:00.0", 5.5335, 2.59762944479102, 1.1, 0.3671, 0.5392, 14.95, 0, 0.0, 0.0, 290.0
"2006-10-25 08:30:00.0", 22.435, 1.06238303181535, 0.15, 0.7534, 0.7133, 18.43, 2, 0.0, 0.0, 1900.0
"2006-11-01 07:45:00.0", 21.357, 1.27011852776045, 1.14, 0.8328, 0.7811, 17.21, 2, 0.0, 0.0, 400.0
"2006-11-08 08:20:00.0", 26.075, 3.25951341235184, 0.6, 0.3531, 0.4792, 15.49, 0, 0.0, 0.0, 0.0
"2006-11-13 00:00:00.0", NaN, NaN, NaN, 4.54, 1.13, 16.14, 0, NaN, NaN, NaN
"2006-11-15 08:15:00.0", 5.418, 0.638178415470992, 0.55, 0.5617, 0.9768, 17.91, 3, 0.0, 0.0, 0.0
"2006-11-21 00:00:00.0", NaN, NaN, NaN, 3.82, 0.72, 10.39, 0, NaN, NaN, NaN
"2006-11-22 08:30:00.0", 59.6365, 2.17529631940112, 0.1, 0.2283, 0.6294, 16.38, 2, 0.0, 0.0, 0.0
"2006-11-29 08:15:00.0", 3.4825, 0.704304429195259, 1.13, 1.859, 0.908, 18.32, 2, 0.0, 0.0, 0.0
"2006-12-06 08:15:00.0", 1.5085, 1.22956955708047, 1.19, 0.5808, 1.015, 19.08, 3, 0.0, 0.0, 0.0
"2006-12-13 08:30:00.0", 3.5308, 0.553961322520274, 1.44, 4.519, 0.8683, 13.83, 0, 0.0, 0.0, 0.0
"2006-12-20 08:00:00.0", 3.4817, 1.56893325015596, 1.22, 2.223, 1.033, 18.19, 3, 0.0, 0.0, 0.0
"2006-12-27 09:15:00.0", 4.0622, 0.266999376169682, 0.96, 7.432, 1.257, 21.77, 2, 0.0, 0.0, 40.0
"2007-01-03 08:10:00.0", 1.9802, 3.01996257018091, 1.33, 5.593, 1.225, 22.36, 2, 0.0, 0.0, 10.0
"2007-01-09 10:00:00.0", 1.7144, 1.524017467, 1.22, 4.248, 0.8853, 10.17, 2, 0.0, 0.0, 0.0
"2007-01-16 10:30:00.0", 2.1039, 6.18777292576419, 1.61, 4.855, 0.9105, 12.17, 3, 0.0, 0.0, 20.0
"2007-01-23 10:30:00.0", 4.0732, 1.79600748596382, 4.1, 5.505, 0.877, 10.83, 2, 1150.0, 400.0, 140.0
"2007-01-30 00:00:00.0", 2.5662, 0.716157205240175, 2.29, 8.884, 1.208, 13.38, 2, 0.0, 0.0, 540.0
"2007-02-06 10:30:00.0", 10.4177, 1.01621958827199, 2.84, 10.83, 1.243, 15.95, 2, 0.0, 0.0, 4460.0
"2007-02-13 10:20:00.0", 2.4424, 0.439650145772595, 0.85, 9.987, 0.8244, 14.13, 2, 0.0, 0.0, 120.0
"2007-02-20 10:20:00.0", 6.2135, 0.522448979591837, 0.75, 5.301, 0.5473, 9.522, 1, 0.0, 0.0, 550.0
"2007-02-27 11:00:00.0", 2.5771, 0.389504373177842, 1.34, 12.48, 1.057, 18.67, 0, 0.0, 0.0, 20.0
"2007-03-06 11:00:00.0", 9.242, 1.30903790087464, 2.55, 8.055, 1.007, 16.77, 3, 1550.0, 0.0, 20.0
"2007-03-13 11:00:00.0", 9.3948, 1.897014015844, 5.37, 9.312, 1.782, 24.47, 3, 0.0, 0.0, 590.0
"2007-03-21 09:00:00.0", 12.3105, 2.7519805, 6.34, 12.08, 3.039, 22.52, 2, 3000.0, 0.0, 310.0
"2007-03-28 09:30:00.0", 7.9097, 1.806215722, 2.97, 21.8, 2.52, 28.06, 3, 4800.0, 0.0, 30.0
"2007-04-05 08:40:00.0", 24.7611, 1.865935405, 0.0, 2.118, 1.336, 7.166, 4, 58100.0, 0.0, 0.0
"2007-04-11 07:30:00.0", 27.846, 1.25167580743449, 2.48, 16.13, 1.392, 20.83, 2, 4300.0, 0.0, 0.0
"2007-04-18 07:40:00.0", 12.2886, 1.29981718464351, 0.96, 13.78, 1.249, 18.07, 3, 350.0, 0.0, 0.0
"2007-04-25 08:40:00.0", 14.6546, 0.571602681291895, 1.2, 6.404, 0.9586, 18.9, 4, 66500.0, 0.0, 0.0
"2007-04-27 18:47:00.0", NaN, 0.214503351614869, 0.17, 0.631751964468739, 0.5236, 25.99, 0, NaN, NaN, NaN
"2007-05-02 08:30:00.0", 13.3552, 0.374162096282754, 0.11, 0.58019233059426, 0.2235, 17.48, 4, 375250.0, 200.0, 410.0
"2007-05-09 07:30:00.0", 62.1045, 0.369896404631322, 0.28, 0.125156305823508, 0.1571, 12.01, 3, 87850.0, 0.0, 30.0
"2007-05-16 08:00:00.0", -999.0, 0.394271785496648, 1.58, 6.513, 0.7986, 20.59, 4, 150.0, 800.0, 2830.0
"2007-05-23 08:00:00.0", 26.8814, 1.19457547169811, 0.41, 0.159678098958333, 0.3637, 18.68, 2, 0.0, 0.0, 750.0
"2007-05-30 08:15:00.0", 15.0878, 0.487028301886792, 3.19, 6.164, 0.8357, 16.29, 2, 0.0, 0.0, 360.0
"2007-06-06 08:00:00.0", 3.1031, 1.02122641509434, 7.36, 6.912, 1.759, 21.91, 1, 0.0, 0.0, 0.0
