year,month,day,47N,46N,45N,44N,43N,42N,41N,40N,39N,38N,37N,36N,35N,34N,33N,32N,31N
1988,3,7,0.008,0.193,0.429,0.257,0.813,0.79,0.983,1.067,1.604,0.943,1.211,1.303,0.54,0.514,0.156,0.249,0.13
1988,3,8,-0.068,0.032,0.149,0,0.331,0.537,0.319,0.34,0.973,0.298,0.773,0.194,-0.005,0.015,0.095,0.092,-0.128
1988,3,9,0.419,0.553,0.626,0.056,0.7,1.131,0.873,1.302,1.88,1.227,2.128,2.47,2.321,1.134,0.37,0.31,0.197
1988,3,10,0.205,0.256,0.347,0.24,0.603,1.163,1.374,1.906,2.295,1.367,1.865,2.085,1.95,1.505,1.095,0.775,0.922
1988,3,11,0.319,0.203,0.506,0.239,0.834,0.959,0.511,0.773,0.642,0.204,1.052,0.885,0.792,0.844,0.45,0.511,0.531
1988,3,12,0.418,0.471,0.6,0.26,0.738,0.735,0.001,0.138,-0.23,0.103,0.389,-0.248,-0.061,0.217,0.249,0.198,-0.046
1988,3,13,0.56,0.41,0.908,0.448,1.062,1.097,0.3,0.595,-0.156,0.062,0.595,-0.389,0.208,0.136,0.068,0.216,0.155
1988,3,14,0.456,0.29,0.564,0.421,1.126,1.131,0.87,0.845,0.032,0.359,0.707,0.095,0.508,0.452,0.051,0.161,0.389
1988,3,15,0.227,0.096,0.398,0.154,0.84,0.694,0.758,0.489,0.386,0.463,0.468,0.311,0.721,1.044,0.128,0.338,0.439
1988,3,16,-0.028,0.108,0.108,-0.124,0.714,0.183,0.114,-0.222,0.39,0.146,0.176,-0.033,0.313,0.631,0.233,0.407,0.505
1988,3,17,0.163,0.233,0.366,-0.026,0.85,0.086,0.059,0.345,0.845,0.067,0.52,0.343,0.478,0.289,0.265,0.302,0.623
1988,3,18,-0.064,-0.19,-0.197,-0.485,-0.102,-0.943,-0.87,-0.72,-0.303,-0.37,0.01,-0.1,0.06,0.11,-0.006,0.043,0.155
1988,3,19,-0.418,-0.385,-0.268,-0.364,0.295,-0.397,-0.149,-0.008,0.439,0.224,0.419,0.315,0.294,0.172,0.029,0.114,0.213
1988,3,20,-0.553,-0.449,-0.356,-0.297,0.633,0.197,0.32,0.733,1.369,0.872,1.004,0.797,0.509,0.157,0.087,0.086,0.178
1988,3,21,-0.049,-0.114,-0.406,-0.526,-0.012,-0.534,-0.32,-0.031,0.959,-0.11,0.691,1.079,1.199,0.741,0.484,0.094,0.22
1988,3,22,-1.951,-1.952,-2.613,-2.186,-2.212,-2.189,-1.344,-0.536,0.266,-0.411,0.312,0.661,0.891,0.709,0.433,0.237,0.516
1988,3,23,-0.041,0.348,-0.792,-0.329,-0.141,-0.713,-0.348,0.088,0.655,0.076,0.543,1.151,1.577,1.22,0.539,0.263,0.486
1988,3,24,-0.283,-0.275,-0.767,-0.428,-0.067,0.009,0.212,1.209,2.616,2.154,2.347,2.534,2.54,1.45,0.582,0.222,0.509
1988,3,25,-0.613,-0.56,-0.124,-0.206,0.337,0.479,0.551,1.374,2.332,1.209,1.877,0.923,1.243,0.518,0.163,0.017,0.1
1988,3,26,0.24,0.613,0.23,-0.02,0.646,0.83,0.992,1.941,2.62,1.161,1.441,0.299,0.861,0.24,0.012,-0.056,0.015
1988,3,27,1.743,0.823,1.055,0.192,1.63,2.748,4.207,5.745,6.979,4.771,4.541,4.083,3.721,1.927,0.516,0.161,0.161
1988,3,28,0.32,-0.105,0.492,0.227,1.945,2.77,3.52,4.912,5.526,2.527,2.598,1.568,1.498,0.9,0.397,0.086,0.239
1988,3,29,1.191,0.268,0.358,0.247,1.715,1.977,1.735,2.236,2.894,1.438,2.313,0.436,1.074,0.355,0.135,0.142,0.206
1988,3,30,0.452,0.082,0.897,0.233,1.849,2.554,3.137,3.588,4.385,2.674,3.12,2.161,2.265,1.396,0.682,0.292,0.4
