#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 01 03 20 23 999 99.0 99.0  2.03 14.29  9.34 298 9999.0 999.0  12.6 999.0 99.0 99.00
2011 01 03 20 53 999 99.0 99.0  2.27 13.33 10.17 297 9999.0 999.0  12.7 999.0 99.0 99.00
2011 01 03 21 23 999 99.0 99.0  2.18 12.50  9.85 304 9999.0 999.0  12.6 999.0 99.0 99.00
2011 01 03 21 53 999 99.0 99.0  2.17 12.50  9.70 300 9999.0 999.0  12.6 999.0 99.0 99.00
2011 01 03 22 23 999 99.0 99.0  2.35 12.50  9.84 303 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 03 22 53 999 99.0 99.0  2.36 13.33  9.80 294 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 03 23 23 999 99.0 99.0  2.41 13.33  9.97 298 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 03 23 53 999 99.0 99.0  2.34 11.76  9.56 296 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 04 00 23 999 99.0 99.0  2.22 13.33  9.59 296 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 04 00 53 999 99.0 99.0  2.00 12.50  9.03 306 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 04 01 23 999 99.0 99.0  1.99 12.50  9.46 301 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 04 01 53 999 99.0 99.0  2.10 12.50  9.34 298 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 04 02 23 999 99.0 99.0  2.17 13.33  9.62 298 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 04 02 53 999 99.0 99.0  2.09 12.50  9.36 298 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 04 03 23 999 99.0 99.0  2.14 10.53  9.27 301 9999.0 999.0  12.2 999.0 99.0 99.00
2011 01 04 03 53 999 99.0 99.0  1.99 11.11  9.17 301 9999.0 999.0  12.2 999.0 99.0 99.00
2011 01 04 04 23 999 99.0 99.0  2.09 12.50  9.47 296 9999.0 999.0  12.1 999.0 99.0 99.00
2011 01 04 04 53 999 99.0 99.0  1.89 12.50  9.69 294 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 04 05 23 999 99.0 99.0  1.80 12.50  9.38 297 9999.0 999.0  12.0 999.0 99.0 99.00
