#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 03 02 40 999 99.0 99.0  3.77 14.29 11.02 299 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 03 03 40 999 99.0 99.0  3.78 14.29 10.42 297 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 03 04 10 999 99.0 99.0  3.69 13.33 10.41 295 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 03 04 40 999 99.0 99.0  4.22 14.29 10.70 297 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 03 05 10 999 99.0 99.0  3.78 13.33 10.14 305 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 03 05 40 999 99.0 99.0  3.84 13.33 10.64 292 9999.0 999.0  13.0 999.0 99.0 99.00
2010 01 03 06 10 999 99.0 99.0  3.78 13.33 10.57 304 9999.0 999.0  13.0 999.0 99.0 99.00
2010 01 03 06 40 999 99.0 99.0  3.51 13.33 10.38 298 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 03 07 10 999 99.0 99.0  3.53 13.33 10.57 297 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 03 07 40 999 99.0 99.0  3.43 12.50 10.44 312 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 03 08 10 999 99.0 99.0  3.63 12.50 10.27 295 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 03 08 40 999 99.0 99.0  3.36 12.50 10.25 298 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 03 09 10 999 99.0 99.0  3.58 13.33 10.47 304 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 03 09 40 999 99.0 99.0  3.39 13.33 10.15 292 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 03 10 10 999 99.0 99.0  3.21 13.33 10.10 294 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 03 10 40 999 99.0 99.0  3.24 13.33 10.22 301 9999.0 999.0  13.2 999.0 99.0 99.00
