"Study_ID","Study_Name","Location_ID","Study_Specific_Location_ID","Location_Name","Instrument_ID","Field_Collection_Type","Field_Collector","Time_Zone","Field_Collection_Date","Field_Collection_Time","Field_Collection_Date_Time","Field_Collection_Comment","Matrix","Source","Depth_Value","Depth_Value_Units","Result_Parameter_Name","Result_Value","Result_Value_Units","Result_Data_Qualifier","Result_Method","Result_Method_Description","Result_Comment","Result_Data_Review_Status","Calculated_Latitude_Decimal_Degrees_NAD83HARN","Calculated_Longitude_Decimal_Degrees_NAD83HARN","Calculated_Land_Surface_Elevation_NAVD88_FT","Record_Created_On","Continuous_Result_System_ID"
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","BUD005","BUD005","BUD005","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time","07/21/2009",16:31:07,7/21/2009 4:31:07 PM,"","Water","Salt/Marine Water",2,"m","Temperature, water","15.6583","deg C","","TEMP-THERMISTOR","Temperature by thermistor","Loaded by stba, 4/4/2016 4:26:57 PM","Final",47.0920388567478,-122.918214865058,,11/13/2025 8:00:56 PM,260433812
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","PTH005","PTH005","PTH005","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time","07/20/2009",23:08:58,7/20/2009 11:08:58 PM,"","Water","Salt/Marine Water",17.5,"m","Temperature, water","10.5206","deg C","","TEMP-THERMISTOR","Temperature by thermistor","Loaded by stba, 4/4/2016 4:26:57 PM","Final",48.0833355941599,-122.763315078905,,11/13/2025 8:00:56 PM,260433794
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","PTH005","PTH005","PTH005","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time","11/10/2010",17:59:37,11/10/2010 5:59:37 PM,"","Water","Salt/Marine Water",11,"m","Temperature, water","9.7679","deg C","","TEMP-THERMISTOR","Temperature by thermistor","Loaded by stba, 4/4/2016 4:26:57 PM","Final",48.0833355941599,-122.763315078905,,11/12/2025 8:22:47 PM,259878033
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","QMH002","QMH002","QMH002","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time","07/06/2010",21:28:03,7/6/2010 9:28:03 PM,"","Water","Salt/Marine Water",1,"m","Temperature, water","16.0165","deg C","","TEMP-THERMISTOR","Temperature by thermistor","Loaded by stba, 4/4/2016 4:26:57 PM","Final",47.3967055945131,-122.441714861224,,11/12/2025 8:22:47 PM,259861945
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","BUD002","BUD002","BUD002","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time","04/01/2014",16:28:05,4/1/2014 4:28:05 PM,"","Water","Salt/Marine Water",1.5,"m","Temperature, water","9.08040046691895","deg C","","TEMP-THERMISTOR","Temperature by thermistor","Loaded by stba, 4/4/2016 4:26:57 PM","Final",47.0514905259256,-122.906264853786,,5/31/2025 8:01:17 PM,235413573
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","PTH005","PTH005","PTH005","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time","10/05/2017",19:02:39.2633333,10/5/2017 7:02:39 PM,"","Water","Salt/Marine Water",3,"m","Temperature, water","11.4042","deg C","","TEMP-THERMISTOR","Temperature by thermistor","","Final",48.0833355941599,-122.763315078905,,8/30/2025 8:01:09 PM,248117947
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","PTH005","PTH005","PTH005","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time","03/24/2015",17:28:35.2866667,3/24/2015 5:28:35 PM,"","Water","Salt/Marine Water",8,"m","Temperature, water","9.3334","deg C","","TEMP-THERMISTOR","Temperature by thermistor","","Final",48.0833355941599,-122.763315078905,,8/31/2025 8:01:08 PM,248575493
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","BUD005","BUD005","BUD005","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time","05/06/2013",16:49:55,5/6/2013 4:49:55 PM,"","Water","Salt/Marine Water",16.5,"m","Temperature, water","10.0718002319336","deg C","","TEMP-THERMISTOR","Temperature by thermistor","Loaded by stba, 4/4/2016 4:26:57 PM","Final",47.0920388567478,-122.918214865058,,9/17/2025 8:01:22 PM,254085319
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","PTH005","PTH005","PTH005","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time","07/12/2017",18:33:30.5300000,7/12/2017 6:33:30 PM,"","Water","Salt/Marine Water",4,"m","Temperature, water","13.0581","deg C","","TEMP-THERMISTOR","Temperature by thermistor","","Final",48.0833355941599,-122.763315078905,,8/30/2025 8:01:09 PM,247961928
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","BUD005","BUD005","BUD005","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time","10/08/2013",16:47:07,10/8/2013 4:47:07 PM,"","Water","Salt/Marine Water",2,"m","Temperature, water","13.4618997573853","deg C","","TEMP-THERMISTOR","Temperature by thermistor","Loaded by stba, 4/4/2016 4:26:57 PM","Final",47.0920388567478,-122.918214865058,,9/17/2025 8:01:22 PM,254108560
