#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 02 18 22 999 99.0 99.0  2.98 11.76  9.50 327 9999.0 999.0  12.2 999.0 99.0 99.00
2017 01 02 18 52 999 99.0 99.0  2.87 11.76  9.38 320 9999.0 999.0  12.2 999.0 99.0 99.00
2017 01 02 19 22 999 99.0 99.0  2.82 11.76  8.90 315 9999.0 999.0  12.2 999.0 99.0 99.00
2017 01 02 19 52 999 99.0 99.0  2.73 16.67  9.22 310 9999.0 999.0  12.3 999.0 99.0 99.00
2017 01 02 20 22 999 99.0 99.0  2.63 14.29  8.99 311 9999.0 999.0  12.2 999.0 99.0 99.00
2017 01 02 20 52 999 99.0 99.0  3.11 14.29  9.68 315 9999.0 999.0  12.2 999.0 99.0 99.00
2017 01 02 21 22 999 99.0 99.0  2.67 12.50  9.11 320 9999.0 999.0  12.2 999.0 99.0 99.00
2017 01 02 21 52 999 99.0 99.0  2.77 14.29  9.66 321 9999.0 999.0  12.2 999.0 99.0 99.00
2017 01 02 22 22 999 99.0 99.0  2.90 15.38 10.16 318 9999.0 999.0  12.2 999.0 99.0 99.00
2017 01 02 22 52 999 99.0 99.0  2.65 13.33  9.68 328 9999.0 999.0  12.1 999.0 99.0 99.00
2017 01 02 23 22 999 99.0 99.0  3.05 14.29  9.95 321 9999.0 999.0  12.2 999.0 99.0 99.00
2017 01 02 23 52 999 99.0 99.0  2.81 14.29  9.69 311 9999.0 999.0  12.1 999.0 99.0 99.00
2017 01 03 00 22 999 99.0 99.0  2.99 11.11  9.90 315 9999.0 999.0  12.1 999.0 99.0 99.00
2017 01 03 00 52 999 99.0 99.0  3.15 14.29 10.40 321 9999.0 999.0  12.1 999.0 99.0 99.00
2017 01 03 01 22 999 99.0 99.0  3.00 15.38 10.07 315 9999.0 999.0  12.1 999.0 99.0 99.00
2017 01 03 01 52 999 99.0 99.0  3.10 15.38 10.05 313 9999.0 999.0  12.1 999.0 99.0 99.00
2017 01 03 02 22 999 99.0 99.0  2.99 13.33  9.71 322 9999.0 999.0  12.1 999.0 99.0 99.00
2017 01 03 02 52 999 99.0 99.0  2.86 14.29  9.42 321 9999.0 999.0  12.1 999.0 99.0 99.00
2017 01 03 03 22 999 99.0 99.0  3.06 14.29  9.67 321 9999.0 999.0  12.1 999.0 99.0 99.00
2017 01 03 03 52 999 99.0 99.0  2.97 12.50  9.29 318 9999.0 999.0  12.1 999.0 99.0 99.00
2017 01 03 04 22 999 99.0 99.0  3.02 13.33  9.24 315 9999.0 999.0  12.1 999.0 99.0 99.00
2017 01 03 04 52 999 99.0 99.0  2.72 15.38  8.94 317 9999.0 999.0  12.1 999.0 99.0 99.00
2017 01 03 05 22 999 99.0 99.0  2.80 11.76  9.03 318 9999.0 999.0  12.1 999.0 99.0 99.00
2017 01 03 05 52 999 99.0 99.0  3.15 14.29  9.76 318 9999.0 999.0  12.1 999.0 99.0 99.00
2017 01 03 06 22 999 99.0 99.0  2.56 14.29  9.17 318 9999.0 999.0  12.1 999.0 99.0 99.00
2017 01 03 06 52 999 99.0 99.0  2.83 14.29  9.51 321 9999.0 999.0  12.1 999.0 99.0 99.00
2017 01 03 07 22 999 99.0 99.0  2.90 14.29  9.66 322 9999.0 999.0  12.2 999.0 99.0 99.00
2017 01 03 07 52 999 99.0 99.0  2.84 12.50  9.81 320 9999.0 999.0  12.1 999.0 99.0 99.00
2017 01 03 08 22 999 99.0 99.0  3.14 14.29 10.02 320 9999.0 999.0  12.2 999.0 99.0 99.00
2017 01 03 08 52 999 99.0 99.0  2.84 14.29  8.98 318 9999.0 999.0  12.3 999.0 99.0 99.00
2017 01 03 09 22 999 99.0 99.0  2.72 11.11  8.37 311 9999.0 999.0  12.3 999.0 99.0 99.00
2017 01 03 09 52 999 99.0 99.0  2.88 14.29  8.73 321 9999.0 999.0  12.3 999.0 99.0 99.00
2017 01 03 10 22 999 99.0 99.0  2.80 13.33  7.96 324 9999.0 999.0  12.3 999.0 99.0 99.00
2017 01 03 10 52 999 99.0 99.0  2.86 14.29  8.36 318 9999.0 999.0  12.4 999.0 99.0 99.00
2017 01 03 11 22 999 99.0 99.0  2.77 14.29  8.01 317 9999.0 999.0  12.4 999.0 99.0 99.00
2017 01 03 11 52 999 99.0 99.0  3.07 12.50  8.59 325 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 03 12 22 999 99.0 99.0  2.73 13.33  8.16 321 9999.0 999.0  12.5 999.0 99.0 99.00
