#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2018 06 03 20 04 280  5.1 99.0 99.00 99.00 99.00 999 1013.9  12.7  12.6 999.0 99.0 99.00
2018 06 03 21 04 270  6.2 99.0 99.00 99.00 99.00 999 1013.8  11.9  12.5 999.0 99.0 99.00
2018 06 03 22 04 280  7.2 99.0 99.00 99.00 99.00 999 1013.9  11.9  12.7 999.0 99.0 99.00
2018 06 03 23 04 280  5.7 99.0 99.00 99.00 99.00 999 1013.7  11.9  12.6 999.0 99.0 99.00
2018 06 04 00 04 280  5.1 99.0 99.00 99.00 99.00 999 1013.4  12.6  12.7 999.0 99.0 99.00
2018 06 04 01 04 280  5.1 99.0 99.00 99.00 99.00 999 1012.9  12.8  12.5 999.0 99.0 99.00
2018 06 04 02 04 290  6.2 99.0 99.00 99.00 99.00 999 1012.6  12.8  12.4 999.0 99.0 99.00
2018 06 04 03 04 300  5.1 99.0 99.00 99.00 99.00 999 1012.5  12.7  12.4 999.0 99.0 99.00
2018 06 04 04 04 310  6.7 99.0 99.00 99.00 99.00 999 1012.7  12.6  12.3 999.0 99.0 99.00
2018 06 04 05 04 320  6.2 99.0 99.00 99.00 99.00 999 1013.1  12.4  12.3 999.0 99.0 99.00
2018 06 04 06 04 300  5.7 99.0 99.00 99.00 99.00 999 1013.0  12.4  12.0 999.0 99.0 99.00
2018 06 04 07 04 310  5.1 99.0 99.00 99.00 99.00 999 1013.0  12.3  11.9 999.0 99.0 99.00
2018 06 04 08 04 320  3.6 99.0 99.00 99.00 99.00 999 1012.9  12.6  11.8 999.0 99.0 99.00
2018 06 04 09 04 320  4.1 99.0 99.00 99.00 99.00 999 1012.8  12.2  12.0 999.0 99.0 99.00
2018 06 04 10 04 320  3.6 99.0 99.00 99.00 99.00 999 1012.6  12.2  11.9 999.0 99.0 99.00
2018 06 04 11 04 310  5.7 99.0 99.00 99.00 99.00 999 1012.3  12.4  11.8 999.0 99.0 99.00
2018 06 04 12 04 310  3.6 99.0 99.00 99.00 99.00 999 1012.4  12.2  11.8 999.0 99.0 99.00
2018 06 04 13 04 320  2.6 99.0 99.00 99.00 99.00 999 1012.9  12.1  11.7 999.0 99.0 99.00
2018 06 04 14 04 360  1.5 99.0 99.00 99.00 99.00 999 1013.3  11.0  12.0 999.0 99.0 99.00
2018 06 04 15 04 300  0.5 99.0 99.00 99.00 99.00 999 1014.8  10.8  12.2 999.0 99.0 99.00
2018 06 04 16 04 310  7.7 99.0 99.00 99.00 99.00 999 1014.6  12.3  12.2 999.0 99.0 99.00
2018 06 04 17 04 310  9.3 99.0 99.00 99.00 99.00 999 1014.7  12.5  12.1 999.0 99.0 99.00
